ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plane	Metadata_Series	Metadata_Site	Metadata_Time	Metadata_Well	Metadata_WellColumn	Metadata_WellRow	FileName_GFP	FileName_Sensor	PathName_GFP	PathName_Sensor	Intensity_IntegratedIntensityEdge_GFP	Intensity_IntegratedIntensityEdge_Sensor	Intensity_IntegratedIntensity_GFP	Intensity_IntegratedIntensity_Sensor	Intensity_LowerQuartileIntensity_GFP	Intensity_LowerQuartileIntensity_Sensor	Intensity_MADIntensity_GFP	Intensity_MADIntensity_Sensor	Intensity_MassDisplacement_GFP	Intensity_MassDisplacement_Sensor	Intensity_MaxIntensityEdge_GFP	Intensity_MaxIntensityEdge_Sensor	Intensity_MaxIntensity_GFP	Intensity_MaxIntensity_Sensor	Intensity_MeanIntensityEdge_GFP	Intensity_MeanIntensityEdge_Sensor	Intensity_MeanIntensity_GFP	Intensity_MeanIntensity_Sensor	Intensity_MedianIntensity_GFP	Intensity_MedianIntensity_Sensor	Intensity_MinIntensityEdge_GFP	Intensity_MinIntensityEdge_Sensor	Intensity_MinIntensity_GFP	Intensity_MinIntensity_Sensor	Intensity_StdIntensityEdge_GFP	Intensity_StdIntensityEdge_Sensor	Intensity_StdIntensity_GFP	Intensity_StdIntensity_Sensor	Intensity_UpperQuartileIntensity_GFP	Intensity_UpperQuartileIntensity_Sensor	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_X_Sensor	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Y_Sensor	Location_CenterMassIntensity_Z_GFP	Location_CenterMassIntensity_Z_Sensor	Location_Center_X	Location_Center_Y	Location_Center_Z	Location_MaxIntensity_X_GFP	Location_MaxIntensity_X_Sensor	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Y_Sensor	Location_MaxIntensity_Z_GFP	Location_MaxIntensity_Z_Sensor	Number_Object_Number
2	61	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	20.707682963460684	33.866926182061434	405.2763112448156	932.6139013580978	0.04254215210676193	0.08719005435705185	0.0019836723804473877	0.016853585839271545	0.4683403681268494	1.7178325255327282	0.052872512489557266	0.095796138048172	0.06022736057639122	0.1585717499256134	0.043051315932350696	0.07040940994191566	0.044796762600289114	0.10308543178491188	0.04423590376973152	0.1025024801492691	0.036987870931625366	0.05758754909038544	0.036987870931625366	0.05758754909038544	0.002440818654829086	0.009780168634225891	0.003033997650179418	0.020891885350959948	0.046692606061697006	0.12082474678754807	1121.6218810908545	1120.9911340451392	1064.4057650337656	1062.45029462493	0.0	0.0	1121.228473527136	1064.1516524814856	0	1117.0	1133.0	1071.0	1028.0	0.0	0.0	61
2	62	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	36.835446793586016	58.707805056124926	696.132831402123	1519.61696947366	0.040466926991939545	0.07737849652767181	0.0013580545783042908	0.013580523431301117	0.4473129276665239	2.0920626526598896	0.048432134091854095	0.08139162510633469	0.0633859783411026	0.13765163719654083	0.040928274215095574	0.06523089450680547	0.04205732427514034	0.0918086617613376	0.04171816632151604	0.09109636396169662	0.035599298775196075	0.057892728596925735	0.035599298775196075	0.057892728596925735	0.0016974283393625124	0.004161041780670413	0.0024396177288232225	0.01774100059579546	0.04322880879044533	0.10443274676799774	1306.1517060031395	1305.5709520807984	1062.7614565700715	1061.2199993285847	0.0	0.0	1306.357902368294	1063.1584098598357	0	1288.0	1281.0	1109.0	953.0	0.0	0.0	62
2	63	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	23.225711561739445	44.81425188854337	440.64802119508386	1156.8811329491436	0.0470588244497776	0.10840390622615814	0.003830011934041977	0.02515450119972229	1.288713315518094	3.154590896614303	0.058121614158153534	0.13171587884426117	0.07643244415521622	0.2064545601606369	0.04739941135048866	0.09145765691539463	0.0512083696914682	0.13444289749554256	0.05088883638381958	0.1371099352836609	0.03965819627046585	0.061280231922864914	0.03935301676392555	0.061280231922864914	0.00393639003768639	0.017429484917692844	0.005623307683870493	0.03203697785654864	0.054703593254089355	0.15843060612678528	885.797332995676	885.985753786585	1058.7586257062815	1056.161637173578	0.0	0.0	884.5239976757699	1058.9571179546774	0	905.0	902.0	1045.0	1044.0	0.0	0.0	63
2	64	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	31.65453588217497	54.09095912799239	597.2685145512223	1341.9748699516058	0.040512703359127045	0.0802471935749054	0.0015564188361167908	0.012962538748979568	1.0056563831184457	6.6653291114587	0.05448996648192406	0.09668116271495819	0.10872053354978561	0.15500114858150482	0.0414869408678571	0.07089247592135307	0.04236848368810543	0.09519577711226543	0.041962310671806335	0.09068436920642853	0.03549248352646828	0.05201800540089607	0.03549248352646828	0.05201800540089607	0.0027707518295873815	0.01002475325145091	0.0034581113120710576	0.020807452821097337	0.043625544756650925	0.10879682749509811	1489.658871255493	1486.1604173250744	1030.5923609214237	1035.0649154326052	0.0	0.0	1490.100659714833	1029.6889409094133	0	1469.0	1436.0	1143.0	1088.0	0.0	0.0	64
2	65	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	26.945494823157787	39.66350807994604	389.711727514863	794.5006189309061	0.04316777363419533	0.07074082642793655	0.0017547868192195892	0.0159914568066597	0.9407825172675581	9.989619148078537	0.05243000015616417	0.0962996855378151	0.054901961237192154	0.17038223147392273	0.0446117463959566	0.06566805973501	0.04501694900252547	0.09177551333382304	0.04493781924247742	0.08380255103111267	0.03833066299557686	0.05215533822774887	0.036987870931625366	0.05215533822774887	0.0025627942406880383	0.010818765196372843	0.0025502714256831374	0.02777826606116006	0.046692606061697006	0.1063820868730545	724.0652592875108	732.9719277983561	1028.1502223340572	1030.5452901730278	0.0	0.0	723.4879288437103	1027.4074159639597	0	697.0	789.0	1034.0	1041.0	0.0	0.0	65
2	66	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	11.19052417948842	20.11309987306595	229.68142270296812	528.0935691669583	0.04098573327064514	0.08468757197260857	0.0016937516629695892	0.013855189085006714	0.602362827731774	0.9082263990669961	0.048340581357479095	0.10965133458375931	0.059205006808042526	0.15353627502918243	0.04175568723689709	0.0750488801233804	0.04328711321201811	0.0995276232881565	0.04243534058332443	0.09874112904071808	0.03678950294852257	0.05729762837290764	0.03631647303700447	0.05729762837290764	0.0021349889782917397	0.01656386523087214	0.0035101585275481534	0.02115343230212361	0.04453345388174057	0.11247424781322479	129.88678882757165	128.67715580967854	1075.2799140171792	1074.7619934909117	0.0	0.0	129.5853750471165	1074.7583867320016	0	132.0	126.0	1086.0	1083.0	0.0	0.0	66
2	67	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	21.002822943031788	33.58620597049594	395.8438095152378	834.3055930398405	0.04077210649847984	0.07366674393415451	0.0013885721564292908	0.01295490562915802	0.3446447079610721	1.7242141211350757	0.0473487451672554	0.09295795857906342	0.05256732925772667	0.14766155183315277	0.041589748402043145	0.0665073385554375	0.04225940103717709	0.08906860179778375	0.042084380984306335	0.08712901175022125	0.035675592720508575	0.05676356330513954	0.035675592720508575	0.05676356330513954	0.0020151290858313135	0.008986207149761977	0.0020643880339423974	0.019266754199005816	0.043579768389463425	0.09935148805379868	260.2598225064186	261.6911084570438	1094.1891358160185	1092.856586973955	0.0	0.0	260.2783174975979	1093.8449877228568	0	323.0	272.0	1061.0	1088.0	0.0	0.0	67
2	68	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	9.77320521324873	21.58001071587205	178.39034155383706	523.5403071679175	0.03984130546450615	0.10611123591661453	0.0015716776251792908	0.016632333397865295	0.6254379270886006	1.968609035210287	0.04592965543270111	0.10893415659666061	0.05369649827480316	0.18106354773044586	0.04021895149485074	0.0888066284603788	0.04175803875323901	0.12255157002994323	0.04118410125374794	0.12315556406974792	0.03541618958115578	0.06216525658965111	0.03541618958115578	0.06216525658965111	0.0016240380905258075	0.013165144016661778	0.002653869572196873	0.0240413031560917	0.04319829121232033	0.13943694531917572	1527.3274773672806	1528.5540533145247	1117.25572905678	1115.0820810962198	0.0	0.0	1527.3382490636704	1116.630383895131	0	1530.0	1537.0	1131.0	1111.0	0.0	0.0	68
2	69	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	13.089921463280916	19.452155400067568	192.18225417658687	378.7515987791121	0.042008087038993835	0.07510490715503693	0.0016479752957820892	0.010513469576835632	0.3729271298735701	1.663157792555055	0.04895094409584999	0.08125428855419159	0.05513084679841995	0.13260090351104736	0.04305895218184512	0.06398735328969594	0.04384719465584916	0.08641378023707783	0.043457694351673126	0.08514533936977386	0.038773175328969955	0.05551232025027275	0.03773556277155876	0.05551232025027275	0.0020703784610172863	0.0060383418123160166	0.0024763673269219367	0.015581101915752456	0.045410849153995514	0.0962844267487526	947.3638575865878	946.6986298450909	1152.2689920159498	1150.844323344087	0.0	0.0	947.0497376226328	1152.4699977184578	0	949.0	940.0	1130.0	1112.0	0.0	0.0	69
2	70	nan	nan	0	01	0	02	1	B01	01	02	r02c01f02p01-ch2sk1fk1fl1.tiff	r02c01f02p01-ch1sk1fk1fl1.tiff	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	C:\Users\Pamela\OneDrive\Escritorio\Sample_CP\Images	11.495262086391449	17.62259864062071	273.04744086787105	599.001877527684	0.04097047448158264	0.08005264401435852	0.0014801248908042908	0.01300068199634552	0.873191834008004	0.33958576761058756	0.04597543179988861	0.0791638046503067	0.056046389043331146	0.12976272404193878	0.041499141106106315	0.06361948967733108	0.04281753816337949	0.0939316100874524	0.042221713811159134	0.0956282913684845	0.037064164876937866	0.05841153487563133	0.037033647298812866	0.05841153487563133	0.0014627487010465156	0.004274517379079568	0.0027150685021961754	0.017496099262911565	0.04408331587910652	0.10716410726308823	720.3093904732893	720.1944357945927	1141.2997665683838	1141.8938403537115	0.0	0.0	720.3936020072134	1142.1688881919397	0	724.0	720.0	1130.0	1140.0	0.0	0.0	70
